time,RUC,kappa,sliding_frame,time_local,Total_Number_Incidents
2019-01-08 08:15:00,0.0020987718905379,0.5,3,,0.0
2019-01-08 08:20:00,0.0193151865466931,0.5,3,,0.0
2019-01-08 08:25:00,0.026448666067545,0.5,3,,0.0
2019-01-08 08:30:00,0.026448666067545,0.5,3,,0.0
2019-01-08 08:35:00,0.0071334795208518,0.5,3,,0.0
2019-01-08 16:35:00,1.896346860519316e-05,0.5,3,,0.0
2019-01-08 16:40:00,1.896346860519316e-05,0.5,3,,0.0
2019-01-08 16:50:00,0.0117151920365841,0.5,3,,0.0
2019-01-08 16:55:00,0.0244327965295817,0.5,3,,0.0
2019-01-08 17:00:00,0.0244327965295817,0.5,3,,0.0
2019-01-08 17:05:00,0.0410361471842842,0.5,3,,0.0
2019-01-08 17:10:00,0.0430963119623176,0.5,3,,0.0
2019-01-08 17:15:00,0.0430963119623176,0.5,3,,0.0
2019-01-08 17:20:00,0.014777769271031,0.5,3,,0.0
2019-01-08 17:25:00,0.0008054051736208,0.5,3,,0.0
2019-01-08 17:30:00,0.0008054051736208,0.5,3,,0.0
2019-01-08 17:50:00,0.0189752803099669,0.5,3,,0.0
2019-01-08 17:55:00,0.0288997316322471,0.5,3,,0.0
2019-01-08 18:00:00,0.0288997316322471,0.5,3,,0.0
2019-01-08 18:05:00,0.0099244513222801,0.5,3,,0.0
2019-01-08 18:35:00,0.0303577188303917,0.5,3,,0.0
2019-01-08 18:40:00,0.0611832249578143,0.5,3,,0.0
2019-01-08 18:45:00,0.0710122969649459,0.5,3,,0.0
2019-01-08 18:50:00,0.0454724571251091,0.5,3,,0.0
2019-01-08 18:55:00,0.0146469509976865,0.5,3,,0.0
2019-01-08 19:25:00,0.0020183497165592,0.5,3,,0.0
2019-01-08 19:30:00,0.0044106191046108,0.5,3,,0.0
2019-01-08 19:35:00,0.0122711148363895,0.5,3,,0.0
2019-01-08 19:40:00,0.022956570766954,0.5,3,,0.0
2019-01-08 19:45:00,0.0244960248396901,0.5,3,,0.0
2019-01-08 19:50:00,0.0237468455603233,0.5,3,,0.0
2019-01-08 19:55:00,0.0208210715101875,0.5,3,,0.0
2019-01-08 20:00:00,0.0188359646685704,0.5,3,,0.0
2019-01-08 20:05:00,0.0109013036746329,0.5,3,,0.0
2019-01-08 20:10:00,0.0031416217942042,0.5,3,,0.0
2019-01-08 20:15:00,0.0082883102872839,0.5,3,,0.0
2019-01-08 20:20:00,0.0142325851620862,0.5,3,,0.0
2019-01-08 20:25:00,0.0142325851620862,0.5,3,,0.0
2019-01-08 20:30:00,0.0059442748748023,0.5,3,,0.0
2019-01-09 06:00:00,0.017278690450299,0.5,3,,0.0
2019-01-09 06:05:00,0.0084223813157403,0.5,3,,0.0
2019-01-09 06:15:00,0.0084223813157403,0.5,3,,0.0
2019-01-09 07:30:00,0.0032942585365672,0.5,3,,0.0
2019-01-09 07:55:00,0.0030591284103765,0.5,3,,0.0
2019-01-09 08:00:00,0.0030591284103765,0.5,3,,0.0
2019-01-09 08:35:00,0.0053723706884147,0.5,3,,0.0
2019-01-09 08:40:00,0.0103915815387259,0.5,3,,0.0
2019-01-09 08:45:00,0.0103915815387259,0.5,3,,0.0
2019-01-09 08:50:00,0.0050192108503112,0.5,3,,0.0
